neighborhood,city,geoType,indicator,value,topic,type,format,order,topicOrder
Black Rock,Bridgeport,1_neighborhood,Total population,8284,Age,table,",",1,1
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Total population,23625,Age,table,",",1,1
Downtown,Bridgeport,1_neighborhood,Total population,3735,Age,table,",",1,1
East End,Bridgeport,1_neighborhood,Total population,9310,Age,table,",",1,1
East Side,Bridgeport,1_neighborhood,Total population,13808,Age,table,",",1,1
Enterprise,Bridgeport,1_neighborhood,Total population,728,Age,table,",",1,1
Hollow,Bridgeport,1_neighborhood,Total population,7280,Age,table,",",1,1
Mill Hill,Bridgeport,1_neighborhood,Total population,12776,Age,table,",",1,1
North End,Bridgeport,1_neighborhood,Total population,24131,Age,table,",",1,1
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Total population,8739,Age,table,",",1,1
South End,Bridgeport,1_neighborhood,Total population,3474,Age,table,",",1,1
Upper East Side,Bridgeport,1_neighborhood,Total population,9492,Age,table,",",1,1
West End-West Side,Bridgeport,1_neighborhood,Total population,21640,Age,table,",",1,1
Bridgeport,Bridgeport,2_city,Total population,147022,Age,table,",",1,1
Fairfield County,Bridgeport,3_county,Total population,941618,Age,table,",",1,1
Connecticut,Bridgeport,4_state,Total population,3588570,Age,table,",",1,1
Black Rock,Bridgeport,1_neighborhood,Population under age 18,1471,Age,table,",",2,2
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Population under age 18,5133,Age,table,",",2,2
Downtown,Bridgeport,1_neighborhood,Population under age 18,758,Age,table,",",2,2
East End,Bridgeport,1_neighborhood,Population under age 18,2642,Age,table,",",2,2
East Side,Bridgeport,1_neighborhood,Population under age 18,4361,Age,table,",",2,2
Enterprise,Bridgeport,1_neighborhood,Population under age 18,196,Age,table,",",2,2
Hollow,Bridgeport,1_neighborhood,Population under age 18,2080,Age,table,",",2,2
Mill Hill,Bridgeport,1_neighborhood,Population under age 18,3031,Age,table,",",2,2
North End,Bridgeport,1_neighborhood,Population under age 18,4770,Age,table,",",2,2
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Population under age 18,2260,Age,table,",",2,2
South End,Bridgeport,1_neighborhood,Population under age 18,584,Age,table,",",2,2
Upper East Side,Bridgeport,1_neighborhood,Population under age 18,2476,Age,table,",",2,2
West End-West Side,Bridgeport,1_neighborhood,Population under age 18,5983,Age,table,",",2,2
Bridgeport,Bridgeport,2_city,Population under age 18,35745,Age,table,",",2,2
Fairfield County,Bridgeport,3_county,Population under age 18,222006,Age,table,",",2,2
Connecticut,Bridgeport,4_state,Population under age 18,773652,Age,table,",",2,2
Black Rock,Bridgeport,1_neighborhood,Percent under age 18,0.178,Age,map,.0%,3,3
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent under age 18,0.217,Age,map,.0%,3,3
Downtown,Bridgeport,1_neighborhood,Percent under age 18,0.203,Age,map,.0%,3,3
East End,Bridgeport,1_neighborhood,Percent under age 18,0.284,Age,map,.0%,3,3
East Side,Bridgeport,1_neighborhood,Percent under age 18,0.316,Age,map,.0%,3,3
Enterprise,Bridgeport,1_neighborhood,Percent under age 18,0.269,Age,map,.0%,3,3
Hollow,Bridgeport,1_neighborhood,Percent under age 18,0.286,Age,map,.0%,3,3
Mill Hill,Bridgeport,1_neighborhood,Percent under age 18,0.237,Age,map,.0%,3,3
North End,Bridgeport,1_neighborhood,Percent under age 18,0.198,Age,map,.0%,3,3
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent under age 18,0.259,Age,map,.0%,3,3
South End,Bridgeport,1_neighborhood,Percent under age 18,0.168,Age,map,.0%,3,3
Upper East Side,Bridgeport,1_neighborhood,Percent under age 18,0.261,Age,map,.0%,3,3
West End-West Side,Bridgeport,1_neighborhood,Percent under age 18,0.276,Age,map,.0%,3,3
Bridgeport,Bridgeport,2_city,Percent under age 18,0.243,Age,map,.0%,3,3
Fairfield County,Bridgeport,3_county,Percent under age 18,0.236,Age,map,.0%,3,3
Connecticut,Bridgeport,4_state,Percent under age 18,0.216,Age,map,.0%,3,3
Black Rock,Bridgeport,1_neighborhood,Population ages 65+,1239,Age,table,",",4,4
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Population ages 65+,2626,Age,table,",",4,4
Downtown,Bridgeport,1_neighborhood,Population ages 65+,455,Age,table,",",4,4
East End,Bridgeport,1_neighborhood,Population ages 65+,750,Age,table,",",4,4
East Side,Bridgeport,1_neighborhood,Population ages 65+,912,Age,table,",",4,4
Enterprise,Bridgeport,1_neighborhood,Population ages 65+,66,Age,table,",",4,4
Hollow,Bridgeport,1_neighborhood,Population ages 65+,360,Age,table,",",4,4
Mill Hill,Bridgeport,1_neighborhood,Population ages 65+,1528,Age,table,",",4,4
North End,Bridgeport,1_neighborhood,Population ages 65+,3100,Age,table,",",4,4
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Population ages 65+,925,Age,table,",",4,4
South End,Bridgeport,1_neighborhood,Population ages 65+,235,Age,table,",",4,4
Upper East Side,Bridgeport,1_neighborhood,Population ages 65+,1145,Age,table,",",4,4
West End-West Side,Bridgeport,1_neighborhood,Population ages 65+,1747,Age,table,",",4,4
Bridgeport,Bridgeport,2_city,Population ages 65+,15089,Age,table,",",4,4
Fairfield County,Bridgeport,3_county,Population ages 65+,135434,Age,table,",",4,4
Connecticut,Bridgeport,4_state,Population ages 65+,555023,Age,table,",",4,4
Black Rock,Bridgeport,1_neighborhood,Percent ages 65+,0.15,Age,map,.0%,5,5
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent ages 65+,0.111,Age,map,.0%,5,5
Downtown,Bridgeport,1_neighborhood,Percent ages 65+,0.122,Age,map,.0%,5,5
East End,Bridgeport,1_neighborhood,Percent ages 65+,0.0806,Age,map,.0%,5,5
East Side,Bridgeport,1_neighborhood,Percent ages 65+,0.066,Age,map,.0%,5,5
Enterprise,Bridgeport,1_neighborhood,Percent ages 65+,0.0909,Age,map,.0%,5,5
Hollow,Bridgeport,1_neighborhood,Percent ages 65+,0.0495,Age,map,.0%,5,5
Mill Hill,Bridgeport,1_neighborhood,Percent ages 65+,0.12,Age,map,.0%,5,5
North End,Bridgeport,1_neighborhood,Percent ages 65+,0.128,Age,map,.0%,5,5
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent ages 65+,0.106,Age,map,.0%,5,5
South End,Bridgeport,1_neighborhood,Percent ages 65+,0.0678,Age,map,.0%,5,5
Upper East Side,Bridgeport,1_neighborhood,Percent ages 65+,0.121,Age,map,.0%,5,5
West End-West Side,Bridgeport,1_neighborhood,Percent ages 65+,0.0807,Age,map,.0%,5,5
Bridgeport,Bridgeport,2_city,Percent ages 65+,0.103,Age,map,.0%,5,5
Fairfield County,Bridgeport,3_county,Percent ages 65+,0.144,Age,map,.0%,5,5
Connecticut,Bridgeport,4_state,Percent ages 65+,0.155,Age,map,.0%,5,5
Black Rock,Bridgeport,1_neighborhood,Total population,8284,Race and ethnicity,table,",",1,6
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Total population,23625,Race and ethnicity,table,",",1,6
Downtown,Bridgeport,1_neighborhood,Total population,3735,Race and ethnicity,table,",",1,6
East End,Bridgeport,1_neighborhood,Total population,9310,Race and ethnicity,table,",",1,6
East Side,Bridgeport,1_neighborhood,Total population,13808,Race and ethnicity,table,",",1,6
Enterprise,Bridgeport,1_neighborhood,Total population,728,Race and ethnicity,table,",",1,6
Hollow,Bridgeport,1_neighborhood,Total population,7280,Race and ethnicity,table,",",1,6
Mill Hill,Bridgeport,1_neighborhood,Total population,12776,Race and ethnicity,table,",",1,6
North End,Bridgeport,1_neighborhood,Total population,24131,Race and ethnicity,table,",",1,6
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Total population,8739,Race and ethnicity,table,",",1,6
South End,Bridgeport,1_neighborhood,Total population,3474,Race and ethnicity,table,",",1,6
Upper East Side,Bridgeport,1_neighborhood,Total population,9492,Race and ethnicity,table,",",1,6
West End-West Side,Bridgeport,1_neighborhood,Total population,21640,Race and ethnicity,table,",",1,6
Bridgeport,Bridgeport,2_city,Total population,147022,Race and ethnicity,table,",",1,6
Fairfield County,Bridgeport,3_county,Total population,941618,Race and ethnicity,table,",",1,6
Connecticut,Bridgeport,4_state,Total population,3588570,Race and ethnicity,table,",",1,6
Black Rock,Bridgeport,1_neighborhood,Latino population,1698,Race and ethnicity,table,",",2,7
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Latino population,9171,Race and ethnicity,table,",",2,7
Downtown,Bridgeport,1_neighborhood,Latino population,1690,Race and ethnicity,table,",",2,7
East End,Bridgeport,1_neighborhood,Latino population,3877,Race and ethnicity,table,",",2,7
East Side,Bridgeport,1_neighborhood,Latino population,8198,Race and ethnicity,table,",",2,7
Enterprise,Bridgeport,1_neighborhood,Latino population,270,Race and ethnicity,table,",",2,7
Hollow,Bridgeport,1_neighborhood,Latino population,3625,Race and ethnicity,table,",",2,7
Mill Hill,Bridgeport,1_neighborhood,Latino population,5004,Race and ethnicity,table,",",2,7
North End,Bridgeport,1_neighborhood,Latino population,6564,Race and ethnicity,table,",",2,7
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Latino population,2615,Race and ethnicity,table,",",2,7
South End,Bridgeport,1_neighborhood,Latino population,1023,Race and ethnicity,table,",",2,7
Upper East Side,Bridgeport,1_neighborhood,Latino population,3852,Race and ethnicity,table,",",2,7
West End-West Side,Bridgeport,1_neighborhood,Latino population,10101,Race and ethnicity,table,",",2,7
Bridgeport,Bridgeport,2_city,Latino population,57688,Race and ethnicity,table,",",2,7
Fairfield County,Bridgeport,3_county,Latino population,175480,Race and ethnicity,table,",",2,7
Connecticut,Bridgeport,4_state,Latino population,537728,Race and ethnicity,table,",",2,7
Black Rock,Bridgeport,1_neighborhood,Percent Latino,0.205,Race and ethnicity,map,.0%,3,8
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent Latino,0.388,Race and ethnicity,map,.0%,3,8
Downtown,Bridgeport,1_neighborhood,Percent Latino,0.453,Race and ethnicity,map,.0%,3,8
East End,Bridgeport,1_neighborhood,Percent Latino,0.416,Race and ethnicity,map,.0%,3,8
East Side,Bridgeport,1_neighborhood,Percent Latino,0.594,Race and ethnicity,map,.0%,3,8
Enterprise,Bridgeport,1_neighborhood,Percent Latino,0.37,Race and ethnicity,map,.0%,3,8
Hollow,Bridgeport,1_neighborhood,Percent Latino,0.498,Race and ethnicity,map,.0%,3,8
Mill Hill,Bridgeport,1_neighborhood,Percent Latino,0.392,Race and ethnicity,map,.0%,3,8
North End,Bridgeport,1_neighborhood,Percent Latino,0.272,Race and ethnicity,map,.0%,3,8
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent Latino,0.299,Race and ethnicity,map,.0%,3,8
South End,Bridgeport,1_neighborhood,Percent Latino,0.294,Race and ethnicity,map,.0%,3,8
Upper East Side,Bridgeport,1_neighborhood,Percent Latino,0.406,Race and ethnicity,map,.0%,3,8
West End-West Side,Bridgeport,1_neighborhood,Percent Latino,0.467,Race and ethnicity,map,.0%,3,8
Bridgeport,Bridgeport,2_city,Percent Latino,0.392,Race and ethnicity,map,.0%,3,8
Fairfield County,Bridgeport,3_county,Percent Latino,0.186,Race and ethnicity,map,.0%,3,8
Connecticut,Bridgeport,4_state,Percent Latino,0.15,Race and ethnicity,map,.0%,3,8
Black Rock,Bridgeport,1_neighborhood,White population,4752,Race and ethnicity,table,",",4,9
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,White population,6518,Race and ethnicity,table,",",4,9
Downtown,Bridgeport,1_neighborhood,White population,595,Race and ethnicity,table,",",4,9
East End,Bridgeport,1_neighborhood,White population,506,Race and ethnicity,table,",",4,9
East Side,Bridgeport,1_neighborhood,White population,266,Race and ethnicity,table,",",4,9
Enterprise,Bridgeport,1_neighborhood,White population,123,Race and ethnicity,table,",",4,9
Hollow,Bridgeport,1_neighborhood,White population,1242,Race and ethnicity,table,",",4,9
Mill Hill,Bridgeport,1_neighborhood,White population,1928,Race and ethnicity,table,",",4,9
North End,Bridgeport,1_neighborhood,White population,9720,Race and ethnicity,table,",",4,9
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,White population,1136,Race and ethnicity,table,",",4,9
South End,Bridgeport,1_neighborhood,White population,965,Race and ethnicity,table,",",4,9
Upper East Side,Bridgeport,1_neighborhood,White population,1769,Race and ethnicity,table,",",4,9
West End-West Side,Bridgeport,1_neighborhood,White population,2421,Race and ethnicity,table,",",4,9
Bridgeport,Bridgeport,2_city,White population,31942,Race and ethnicity,table,",",4,9
Fairfield County,Bridgeport,3_county,White population,598017,Race and ethnicity,table,",",4,9
Connecticut,Bridgeport,4_state,White population,2464450,Race and ethnicity,table,",",4,9
Black Rock,Bridgeport,1_neighborhood,Percent white,0.574,Race and ethnicity,map,.0%,5,10
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent white,0.276,Race and ethnicity,map,.0%,5,10
Downtown,Bridgeport,1_neighborhood,Percent white,0.159,Race and ethnicity,map,.0%,5,10
East End,Bridgeport,1_neighborhood,Percent white,0.0544,Race and ethnicity,map,.0%,5,10
East Side,Bridgeport,1_neighborhood,Percent white,0.0193,Race and ethnicity,map,.0%,5,10
Enterprise,Bridgeport,1_neighborhood,Percent white,0.169,Race and ethnicity,map,.0%,5,10
Hollow,Bridgeport,1_neighborhood,Percent white,0.171,Race and ethnicity,map,.0%,5,10
Mill Hill,Bridgeport,1_neighborhood,Percent white,0.151,Race and ethnicity,map,.0%,5,10
North End,Bridgeport,1_neighborhood,Percent white,0.403,Race and ethnicity,map,.0%,5,10
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent white,0.13,Race and ethnicity,map,.0%,5,10
South End,Bridgeport,1_neighborhood,Percent white,0.278,Race and ethnicity,map,.0%,5,10
Upper East Side,Bridgeport,1_neighborhood,Percent white,0.186,Race and ethnicity,map,.0%,5,10
West End-West Side,Bridgeport,1_neighborhood,Percent white,0.112,Race and ethnicity,map,.0%,5,10
Bridgeport,Bridgeport,2_city,Percent white,0.217,Race and ethnicity,map,.0%,5,10
Fairfield County,Bridgeport,3_county,Percent white,0.635,Race and ethnicity,map,.0%,5,10
Connecticut,Bridgeport,4_state,Percent white,0.687,Race and ethnicity,map,.0%,5,10
Black Rock,Bridgeport,1_neighborhood,Black population,1383,Race and ethnicity,table,",",6,11
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Black population,6246,Race and ethnicity,table,",",6,11
Downtown,Bridgeport,1_neighborhood,Black population,1209,Race and ethnicity,table,",",6,11
East End,Bridgeport,1_neighborhood,Black population,4560,Race and ethnicity,table,",",6,11
East Side,Bridgeport,1_neighborhood,Black population,4734,Race and ethnicity,table,",",6,11
Enterprise,Bridgeport,1_neighborhood,Black population,272,Race and ethnicity,table,",",6,11
Hollow,Bridgeport,1_neighborhood,Black population,1921,Race and ethnicity,table,",",6,11
Mill Hill,Bridgeport,1_neighborhood,Black population,5078,Race and ethnicity,table,",",6,11
North End,Bridgeport,1_neighborhood,Black population,6565,Race and ethnicity,table,",",6,11
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Black population,4495,Race and ethnicity,table,",",6,11
South End,Bridgeport,1_neighborhood,Black population,844,Race and ethnicity,table,",",6,11
Upper East Side,Bridgeport,1_neighborhood,Black population,3401,Race and ethnicity,table,",",6,11
West End-West Side,Bridgeport,1_neighborhood,Black population,7808,Race and ethnicity,table,",",6,11
Bridgeport,Bridgeport,2_city,Black population,48518,Race and ethnicity,table,",",6,11
Fairfield County,Bridgeport,3_county,Black population,98457,Race and ethnicity,table,",",6,11
Connecticut,Bridgeport,4_state,Black population,347674,Race and ethnicity,table,",",6,11
Black Rock,Bridgeport,1_neighborhood,Percent black,0.167,Race and ethnicity,map,.0%,7,12
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent black,0.264,Race and ethnicity,map,.0%,7,12
Downtown,Bridgeport,1_neighborhood,Percent black,0.324,Race and ethnicity,map,.0%,7,12
East End,Bridgeport,1_neighborhood,Percent black,0.49,Race and ethnicity,map,.0%,7,12
East Side,Bridgeport,1_neighborhood,Percent black,0.343,Race and ethnicity,map,.0%,7,12
Enterprise,Bridgeport,1_neighborhood,Percent black,0.374,Race and ethnicity,map,.0%,7,12
Hollow,Bridgeport,1_neighborhood,Percent black,0.264,Race and ethnicity,map,.0%,7,12
Mill Hill,Bridgeport,1_neighborhood,Percent black,0.397,Race and ethnicity,map,.0%,7,12
North End,Bridgeport,1_neighborhood,Percent black,0.272,Race and ethnicity,map,.0%,7,12
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent black,0.514,Race and ethnicity,map,.0%,7,12
South End,Bridgeport,1_neighborhood,Percent black,0.243,Race and ethnicity,map,.0%,7,12
Upper East Side,Bridgeport,1_neighborhood,Percent black,0.358,Race and ethnicity,map,.0%,7,12
West End-West Side,Bridgeport,1_neighborhood,Percent black,0.361,Race and ethnicity,map,.0%,7,12
Bridgeport,Bridgeport,2_city,Percent black,0.33,Race and ethnicity,map,.0%,7,12
Fairfield County,Bridgeport,3_county,Percent black,0.105,Race and ethnicity,map,.0%,7,12
Connecticut,Bridgeport,4_state,Percent black,0.0969,Race and ethnicity,map,.0%,7,12
Black Rock,Bridgeport,1_neighborhood,Other race population,451,Race and ethnicity,table,",",8,13
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Other race population,1690,Race and ethnicity,table,",",8,13
Downtown,Bridgeport,1_neighborhood,Other race population,240,Race and ethnicity,table,",",8,13
East End,Bridgeport,1_neighborhood,Other race population,366,Race and ethnicity,table,",",8,13
East Side,Bridgeport,1_neighborhood,Other race population,610,Race and ethnicity,table,",",8,13
Enterprise,Bridgeport,1_neighborhood,Other race population,63,Race and ethnicity,table,",",8,13
Hollow,Bridgeport,1_neighborhood,Other race population,492,Race and ethnicity,table,",",8,13
Mill Hill,Bridgeport,1_neighborhood,Other race population,766,Race and ethnicity,table,",",8,13
North End,Bridgeport,1_neighborhood,Other race population,1281,Race and ethnicity,table,",",8,13
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Other race population,494,Race and ethnicity,table,",",8,13
South End,Bridgeport,1_neighborhood,Other race population,642,Race and ethnicity,table,",",8,13
Upper East Side,Bridgeport,1_neighborhood,Other race population,469,Race and ethnicity,table,",",8,13
West End-West Side,Bridgeport,1_neighborhood,Other race population,1309,Race and ethnicity,table,",",8,13
Bridgeport,Bridgeport,2_city,Other race population,8874,Race and ethnicity,table,",",8,13
Fairfield County,Bridgeport,3_county,Other race population,69664,Race and ethnicity,table,",",8,13
Connecticut,Bridgeport,4_state,Other race population,238718,Race and ethnicity,table,",",8,13
Black Rock,Bridgeport,1_neighborhood,Percent other race,0.0544,Race and ethnicity,map,.0%,9,14
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent other race,0.0715,Race and ethnicity,map,.0%,9,14
Downtown,Bridgeport,1_neighborhood,Percent other race,0.0644,Race and ethnicity,map,.0%,9,14
East End,Bridgeport,1_neighborhood,Percent other race,0.0393,Race and ethnicity,map,.0%,9,14
East Side,Bridgeport,1_neighborhood,Percent other race,0.0442,Race and ethnicity,map,.0%,9,14
Enterprise,Bridgeport,1_neighborhood,Percent other race,0.0868,Race and ethnicity,map,.0%,9,14
Hollow,Bridgeport,1_neighborhood,Percent other race,0.0675,Race and ethnicity,map,.0%,9,14
Mill Hill,Bridgeport,1_neighborhood,Percent other race,0.06,Race and ethnicity,map,.0%,9,14
North End,Bridgeport,1_neighborhood,Percent other race,0.0531,Race and ethnicity,map,.0%,9,14
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent other race,0.0565,Race and ethnicity,map,.0%,9,14
South End,Bridgeport,1_neighborhood,Percent other race,0.185,Race and ethnicity,map,.0%,9,14
Upper East Side,Bridgeport,1_neighborhood,Percent other race,0.0494,Race and ethnicity,map,.0%,9,14
West End-West Side,Bridgeport,1_neighborhood,Percent other race,0.0605,Race and ethnicity,map,.0%,9,14
Bridgeport,Bridgeport,2_city,Percent other race,0.0604,Race and ethnicity,map,.0%,9,14
Fairfield County,Bridgeport,3_county,Percent other race,0.074,Race and ethnicity,map,.0%,9,14
Connecticut,Bridgeport,4_state,Percent other race,0.0665,Race and ethnicity,map,.0%,9,14
Black Rock,Bridgeport,1_neighborhood,Total households,3694,Households,table,",",1,15
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Total households,8131,Households,table,",",1,15
Downtown,Bridgeport,1_neighborhood,Total households,1642,Households,table,",",1,15
East End,Bridgeport,1_neighborhood,Total households,3051,Households,table,",",1,15
East Side,Bridgeport,1_neighborhood,Total households,4343,Households,table,",",1,15
Enterprise,Bridgeport,1_neighborhood,Total households,270,Households,table,",",1,15
Hollow,Bridgeport,1_neighborhood,Total households,2261,Households,table,",",1,15
Mill Hill,Bridgeport,1_neighborhood,Total households,4830,Households,table,",",1,15
North End,Bridgeport,1_neighborhood,Total households,8097,Households,table,",",1,15
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Total households,2779,Households,table,",",1,15
South End,Bridgeport,1_neighborhood,Total households,1192,Households,table,",",1,15
Upper East Side,Bridgeport,1_neighborhood,Total households,3270,Households,table,",",1,15
West End-West Side,Bridgeport,1_neighborhood,Total households,6798,Households,table,",",1,15
Bridgeport,Bridgeport,2_city,Total households,50357,Households,table,",",1,15
Fairfield County,Bridgeport,3_county,Total households,335209,Households,table,",",1,15
Connecticut,Bridgeport,4_state,Total households,1354713,Households,table,",",1,15
Black Rock,Bridgeport,1_neighborhood,Owner-occupied households,1259,Households,table,",",2,16
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Owner-occupied households,3497,Households,table,",",2,16
Downtown,Bridgeport,1_neighborhood,Owner-occupied households,109,Households,table,",",2,16
East End,Bridgeport,1_neighborhood,Owner-occupied households,914,Households,table,",",2,16
East Side,Bridgeport,1_neighborhood,Owner-occupied households,921,Households,table,",",2,16
Enterprise,Bridgeport,1_neighborhood,Owner-occupied households,87,Households,table,",",2,16
Hollow,Bridgeport,1_neighborhood,Owner-occupied households,367,Households,table,",",2,16
Mill Hill,Bridgeport,1_neighborhood,Owner-occupied households,2209,Households,table,",",2,16
North End,Bridgeport,1_neighborhood,Owner-occupied households,5600,Households,table,",",2,16
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Owner-occupied households,1911,Households,table,",",2,16
South End,Bridgeport,1_neighborhood,Owner-occupied households,324,Households,table,",",2,16
Upper East Side,Bridgeport,1_neighborhood,Owner-occupied households,1616,Households,table,",",2,16
West End-West Side,Bridgeport,1_neighborhood,Owner-occupied households,1843,Households,table,",",2,16
Bridgeport,Bridgeport,2_city,Owner-occupied households,20657,Households,table,",",2,16
Fairfield County,Bridgeport,3_county,Owner-occupied households,226707,Households,table,",",2,16
Connecticut,Bridgeport,4_state,Owner-occupied households,900223,Households,table,",",2,16
Black Rock,Bridgeport,1_neighborhood,Homeownership rate,0.341,Households,map,.0%,3,17
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Homeownership rate,0.43,Households,map,.0%,3,17
Downtown,Bridgeport,1_neighborhood,Homeownership rate,0.0665,Households,map,.0%,3,17
East End,Bridgeport,1_neighborhood,Homeownership rate,0.3,Households,map,.0%,3,17
East Side,Bridgeport,1_neighborhood,Homeownership rate,0.212,Households,map,.0%,3,17
Enterprise,Bridgeport,1_neighborhood,Homeownership rate,0.321,Households,map,.0%,3,17
Hollow,Bridgeport,1_neighborhood,Homeownership rate,0.162,Households,map,.0%,3,17
Mill Hill,Bridgeport,1_neighborhood,Homeownership rate,0.457,Households,map,.0%,3,17
North End,Bridgeport,1_neighborhood,Homeownership rate,0.692,Households,map,.0%,3,17
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Homeownership rate,0.688,Households,map,.0%,3,17
South End,Bridgeport,1_neighborhood,Homeownership rate,0.272,Households,map,.0%,3,17
Upper East Side,Bridgeport,1_neighborhood,Homeownership rate,0.494,Households,map,.0%,3,17
West End-West Side,Bridgeport,1_neighborhood,Homeownership rate,0.271,Households,map,.0%,3,17
Bridgeport,Bridgeport,2_city,Homeownership rate,0.41,Households,map,.0%,3,17
Fairfield County,Bridgeport,3_county,Homeownership rate,0.676,Households,map,.0%,3,17
Connecticut,Bridgeport,4_state,Homeownership rate,0.665,Households,map,.0%,3,17
Black Rock,Bridgeport,1_neighborhood,Poverty status known,8284,Income,table,",",1,18
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Poverty status known,22624,Income,table,",",1,18
Downtown,Bridgeport,1_neighborhood,Poverty status known,3455,Income,table,",",1,18
East End,Bridgeport,1_neighborhood,Poverty status known,9234,Income,table,",",1,18
East Side,Bridgeport,1_neighborhood,Poverty status known,13647,Income,table,",",1,18
Enterprise,Bridgeport,1_neighborhood,Poverty status known,726,Income,table,",",1,18
Hollow,Bridgeport,1_neighborhood,Poverty status known,7256,Income,table,",",1,18
Mill Hill,Bridgeport,1_neighborhood,Poverty status known,12306,Income,table,",",1,18
North End,Bridgeport,1_neighborhood,Poverty status known,22821,Income,table,",",1,18
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Poverty status known,8694,Income,table,",",1,18
South End,Bridgeport,1_neighborhood,Poverty status known,2778,Income,table,",",1,18
Upper East Side,Bridgeport,1_neighborhood,Poverty status known,9127,Income,table,",",1,18
West End-West Side,Bridgeport,1_neighborhood,Poverty status known,21270,Income,table,",",1,18
Bridgeport,Bridgeport,2_city,Poverty status known,142221,Income,table,",",1,18
Fairfield County,Bridgeport,3_county,Poverty status known,923385,Income,table,",",1,18
Connecticut,Bridgeport,4_state,Poverty status known,3479672,Income,table,",",1,18
Black Rock,Bridgeport,1_neighborhood,Population in poverty,1184,Income,table,",",2,19
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Population in poverty,3759,Income,table,",",2,19
Downtown,Bridgeport,1_neighborhood,Population in poverty,1550,Income,table,",",2,19
