neighborhood,city,geoType,indicator,value,topic,type,format,order,topicOrder
East End,Bridgeport,1_neighborhood,Population in poverty,2619,Income,table,",",2,19
East Side,Bridgeport,1_neighborhood,Population in poverty,4448,Income,table,",",2,19
Enterprise,Bridgeport,1_neighborhood,Population in poverty,159,Income,table,",",2,19
Hollow,Bridgeport,1_neighborhood,Population in poverty,2808,Income,table,",",2,19
Mill Hill,Bridgeport,1_neighborhood,Population in poverty,2460,Income,table,",",2,19
North End,Bridgeport,1_neighborhood,Population in poverty,2492,Income,table,",",2,19
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Population in poverty,1164,Income,table,",",2,19
South End,Bridgeport,1_neighborhood,Population in poverty,1082,Income,table,",",2,19
Upper East Side,Bridgeport,1_neighborhood,Population in poverty,1584,Income,table,",",2,19
West End-West Side,Bridgeport,1_neighborhood,Population in poverty,6144,Income,table,",",2,19
Bridgeport,Bridgeport,2_city,Population in poverty,31453,Income,table,",",2,19
Fairfield County,Bridgeport,3_county,Population in poverty,81553,Income,table,",",2,19
Connecticut,Bridgeport,4_state,Population in poverty,360464,Income,table,",",2,19
Black Rock,Bridgeport,1_neighborhood,Poverty rate,0.143,Income,map,.0%,3,20
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Poverty rate,0.166,Income,map,.0%,3,20
Downtown,Bridgeport,1_neighborhood,Poverty rate,0.449,Income,map,.0%,3,20
East End,Bridgeport,1_neighborhood,Poverty rate,0.284,Income,map,.0%,3,20
East Side,Bridgeport,1_neighborhood,Poverty rate,0.326,Income,map,.0%,3,20
Enterprise,Bridgeport,1_neighborhood,Poverty rate,0.219,Income,map,.0%,3,20
Hollow,Bridgeport,1_neighborhood,Poverty rate,0.387,Income,map,.0%,3,20
Mill Hill,Bridgeport,1_neighborhood,Poverty rate,0.2,Income,map,.0%,3,20
North End,Bridgeport,1_neighborhood,Poverty rate,0.109,Income,map,.0%,3,20
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Poverty rate,0.134,Income,map,.0%,3,20
South End,Bridgeport,1_neighborhood,Poverty rate,0.389,Income,map,.0%,3,20
Upper East Side,Bridgeport,1_neighborhood,Poverty rate,0.174,Income,map,.0%,3,20
West End-West Side,Bridgeport,1_neighborhood,Poverty rate,0.289,Income,map,.0%,3,20
Bridgeport,Bridgeport,2_city,Poverty rate,0.221,Income,map,.0%,3,20
Fairfield County,Bridgeport,3_county,Poverty rate,0.0883,Income,map,.0%,3,20
Connecticut,Bridgeport,4_state,Poverty rate,0.104,Income,map,.0%,3,20
Black Rock,Bridgeport,1_neighborhood,Low-income population,2641,Income,table,",",4,21
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Low-income population,9021,Income,table,",",4,21
Downtown,Bridgeport,1_neighborhood,Low-income population,2400,Income,table,",",4,21
East End,Bridgeport,1_neighborhood,Low-income population,5639,Income,table,",",4,21
East Side,Bridgeport,1_neighborhood,Low-income population,8461,Income,table,",",4,21
Enterprise,Bridgeport,1_neighborhood,Low-income population,409,Income,table,",",4,21
Hollow,Bridgeport,1_neighborhood,Low-income population,4597,Income,table,",",4,21
Mill Hill,Bridgeport,1_neighborhood,Low-income population,5743,Income,table,",",4,21
North End,Bridgeport,1_neighborhood,Low-income population,6535,Income,table,",",4,21
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Low-income population,3320,Income,table,",",4,21
South End,Bridgeport,1_neighborhood,Low-income population,2068,Income,table,",",4,21
Upper East Side,Bridgeport,1_neighborhood,Low-income population,3710,Income,table,",",4,21
West End-West Side,Bridgeport,1_neighborhood,Low-income population,11816,Income,table,",",4,21
Bridgeport,Bridgeport,2_city,Low-income population,66360,Income,table,",",4,21
Fairfield County,Bridgeport,3_county,Low-income population,196117,Income,table,",",4,21
Connecticut,Bridgeport,4_state,Low-income population,812120,Income,table,",",4,21
Black Rock,Bridgeport,1_neighborhood,Low-income rate,0.319,Income,map,.0%,5,22
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Low-income rate,0.399,Income,map,.0%,5,22
Downtown,Bridgeport,1_neighborhood,Low-income rate,0.695,Income,map,.0%,5,22
East End,Bridgeport,1_neighborhood,Low-income rate,0.611,Income,map,.0%,5,22
East Side,Bridgeport,1_neighborhood,Low-income rate,0.62,Income,map,.0%,5,22
Enterprise,Bridgeport,1_neighborhood,Low-income rate,0.563,Income,map,.0%,5,22
Hollow,Bridgeport,1_neighborhood,Low-income rate,0.634,Income,map,.0%,5,22
Mill Hill,Bridgeport,1_neighborhood,Low-income rate,0.467,Income,map,.0%,5,22
North End,Bridgeport,1_neighborhood,Low-income rate,0.286,Income,map,.0%,5,22
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Low-income rate,0.382,Income,map,.0%,5,22
South End,Bridgeport,1_neighborhood,Low-income rate,0.744,Income,map,.0%,5,22
Upper East Side,Bridgeport,1_neighborhood,Low-income rate,0.407,Income,map,.0%,5,22
West End-West Side,Bridgeport,1_neighborhood,Low-income rate,0.556,Income,map,.0%,5,22
Bridgeport,Bridgeport,2_city,Low-income rate,0.467,Income,map,.0%,5,22
Fairfield County,Bridgeport,3_county,Low-income rate,0.212,Income,map,.0%,5,22
Connecticut,Bridgeport,4_state,Low-income rate,0.233,Income,map,.0%,5,22
Black Rock,Bridgeport,1_neighborhood,Total population,8284,Immigration,table,",",1,23
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Total population,23625,Immigration,table,",",1,23
Downtown,Bridgeport,1_neighborhood,Total population,3735,Immigration,table,",",1,23
East End,Bridgeport,1_neighborhood,Total population,9310,Immigration,table,",",1,23
East Side,Bridgeport,1_neighborhood,Total population,13808,Immigration,table,",",1,23
Enterprise,Bridgeport,1_neighborhood,Total population,728,Immigration,table,",",1,23
Hollow,Bridgeport,1_neighborhood,Total population,7280,Immigration,table,",",1,23
Mill Hill,Bridgeport,1_neighborhood,Total population,12776,Immigration,table,",",1,23
North End,Bridgeport,1_neighborhood,Total population,24131,Immigration,table,",",1,23
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Total population,8739,Immigration,table,",",1,23
South End,Bridgeport,1_neighborhood,Total population,3474,Immigration,table,",",1,23
Upper East Side,Bridgeport,1_neighborhood,Total population,9492,Immigration,table,",",1,23
West End-West Side,Bridgeport,1_neighborhood,Total population,21640,Immigration,table,",",1,23
Bridgeport,Bridgeport,2_city,Total population,147022,Immigration,table,",",1,23
Fairfield County,Bridgeport,3_county,Total population,941618,Immigration,table,",",1,23
Connecticut,Bridgeport,4_state,Total population,3588570,Immigration,table,",",1,23
Black Rock,Bridgeport,1_neighborhood,Foreign-born population,1901,Immigration,table,",",2,24
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Foreign-born population,8632,Immigration,table,",",2,24
Downtown,Bridgeport,1_neighborhood,Foreign-born population,790,Immigration,table,",",2,24
East End,Bridgeport,1_neighborhood,Foreign-born population,1862,Immigration,table,",",2,24
East Side,Bridgeport,1_neighborhood,Foreign-born population,3309,Immigration,table,",",2,24
Enterprise,Bridgeport,1_neighborhood,Foreign-born population,296,Immigration,table,",",2,24
Hollow,Bridgeport,1_neighborhood,Foreign-born population,2573,Immigration,table,",",2,24
Mill Hill,Bridgeport,1_neighborhood,Foreign-born population,3347,Immigration,table,",",2,24
North End,Bridgeport,1_neighborhood,Foreign-born population,7515,Immigration,table,",",2,24
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Foreign-born population,2275,Immigration,table,",",2,24
South End,Bridgeport,1_neighborhood,Foreign-born population,1013,Immigration,table,",",2,24
Upper East Side,Bridgeport,1_neighborhood,Foreign-born population,2328,Immigration,table,",",2,24
West End-West Side,Bridgeport,1_neighborhood,Foreign-born population,6362,Immigration,table,",",2,24
Bridgeport,Bridgeport,2_city,Foreign-born population,42204,Immigration,table,",",2,24
Fairfield County,Bridgeport,3_county,Foreign-born population,199191,Immigration,table,",",2,24
Connecticut,Bridgeport,4_state,Foreign-born population,503209,Immigration,table,",",2,24
Black Rock,Bridgeport,1_neighborhood,Percent foreign-born,0.229,Immigration,map,.0%,3,25
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Percent foreign-born,0.365,Immigration,map,.0%,3,25
Downtown,Bridgeport,1_neighborhood,Percent foreign-born,0.212,Immigration,map,.0%,3,25
East End,Bridgeport,1_neighborhood,Percent foreign-born,0.2,Immigration,map,.0%,3,25
East Side,Bridgeport,1_neighborhood,Percent foreign-born,0.24,Immigration,map,.0%,3,25
Enterprise,Bridgeport,1_neighborhood,Percent foreign-born,0.406,Immigration,map,.0%,3,25
Hollow,Bridgeport,1_neighborhood,Percent foreign-born,0.353,Immigration,map,.0%,3,25
Mill Hill,Bridgeport,1_neighborhood,Percent foreign-born,0.262,Immigration,map,.0%,3,25
North End,Bridgeport,1_neighborhood,Percent foreign-born,0.311,Immigration,map,.0%,3,25
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Percent foreign-born,0.26,Immigration,map,.0%,3,25
South End,Bridgeport,1_neighborhood,Percent foreign-born,0.292,Immigration,map,.0%,3,25
Upper East Side,Bridgeport,1_neighborhood,Percent foreign-born,0.245,Immigration,map,.0%,3,25
West End-West Side,Bridgeport,1_neighborhood,Percent foreign-born,0.294,Immigration,map,.0%,3,25
Bridgeport,Bridgeport,2_city,Percent foreign-born,0.287,Immigration,map,.0%,3,25
Fairfield County,Bridgeport,3_county,Percent foreign-born,0.212,Immigration,map,.0%,3,25
Connecticut,Bridgeport,4_state,Percent foreign-born,0.14,Immigration,map,.0%,3,25
Black Rock,Bridgeport,1_neighborhood,"Under 18, poverty status known",1471,Income by age: children,table,",",1,26
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,"Under 18, poverty status known",5110,Income by age: children,table,",",1,26
Downtown,Bridgeport,1_neighborhood,"Under 18, poverty status known",744,Income by age: children,table,",",1,26
East End,Bridgeport,1_neighborhood,"Under 18, poverty status known",2627,Income by age: children,table,",",1,26
East Side,Bridgeport,1_neighborhood,"Under 18, poverty status known",4292,Income by age: children,table,",",1,26
Enterprise,Bridgeport,1_neighborhood,"Under 18, poverty status known",196,Income by age: children,table,",",1,26
Hollow,Bridgeport,1_neighborhood,"Under 18, poverty status known",2056,Income by age: children,table,",",1,26
Mill Hill,Bridgeport,1_neighborhood,"Under 18, poverty status known",2881,Income by age: children,table,",",1,26
North End,Bridgeport,1_neighborhood,"Under 18, poverty status known",4633,Income by age: children,table,",",1,26
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,"Under 18, poverty status known",2214,Income by age: children,table,",",1,26
South End,Bridgeport,1_neighborhood,"Under 18, poverty status known",576,Income by age: children,table,",",1,26
Upper East Side,Bridgeport,1_neighborhood,"Under 18, poverty status known",2360,Income by age: children,table,",",1,26
West End-West Side,Bridgeport,1_neighborhood,"Under 18, poverty status known",5865,Income by age: children,table,",",1,26
Bridgeport,Bridgeport,2_city,"Under 18, poverty status known",35025,Income by age: children,table,",",1,26
Fairfield County,Bridgeport,3_county,"Under 18, poverty status known",219170,Income by age: children,table,",",1,26
Connecticut,Bridgeport,4_state,"Under 18, poverty status known",763850,Income by age: children,table,",",1,26
Black Rock,Bridgeport,1_neighborhood,Children in poverty,355,Income by age: children,table,",",2,27
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Children in poverty,1402,Income by age: children,table,",",2,27
Downtown,Bridgeport,1_neighborhood,Children in poverty,484,Income by age: children,table,",",2,27
East End,Bridgeport,1_neighborhood,Children in poverty,947,Income by age: children,table,",",2,27
East Side,Bridgeport,1_neighborhood,Children in poverty,1769,Income by age: children,table,",",2,27
Enterprise,Bridgeport,1_neighborhood,Children in poverty,59,Income by age: children,table,",",2,27
Hollow,Bridgeport,1_neighborhood,Children in poverty,1234,Income by age: children,table,",",2,27
Mill Hill,Bridgeport,1_neighborhood,Children in poverty,740,Income by age: children,table,",",2,27
North End,Bridgeport,1_neighborhood,Children in poverty,567,Income by age: children,table,",",2,27
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Children in poverty,495,Income by age: children,table,",",2,27
South End,Bridgeport,1_neighborhood,Children in poverty,254,Income by age: children,table,",",2,27
Upper East Side,Bridgeport,1_neighborhood,Children in poverty,637,Income by age: children,table,",",2,27
West End-West Side,Bridgeport,1_neighborhood,Children in poverty,2580,Income by age: children,table,",",2,27
Bridgeport,Bridgeport,2_city,Children in poverty,11524,Income by age: children,table,",",2,27
Fairfield County,Bridgeport,3_county,Children in poverty,23736,Income by age: children,table,",",2,27
Connecticut,Bridgeport,4_state,Children in poverty,107690,Income by age: children,table,",",2,27
Black Rock,Bridgeport,1_neighborhood,Child poverty rate,0.242,Income by age: children,map,.0%,3,28
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Child poverty rate,0.274,Income by age: children,map,.0%,3,28
Downtown,Bridgeport,1_neighborhood,Child poverty rate,0.65,Income by age: children,map,.0%,3,28
East End,Bridgeport,1_neighborhood,Child poverty rate,0.36,Income by age: children,map,.0%,3,28
East Side,Bridgeport,1_neighborhood,Child poverty rate,0.412,Income by age: children,map,.0%,3,28
Enterprise,Bridgeport,1_neighborhood,Child poverty rate,0.299,Income by age: children,map,.0%,3,28
Hollow,Bridgeport,1_neighborhood,Child poverty rate,0.6,Income by age: children,map,.0%,3,28
Mill Hill,Bridgeport,1_neighborhood,Child poverty rate,0.257,Income by age: children,map,.0%,3,28
North End,Bridgeport,1_neighborhood,Child poverty rate,0.122,Income by age: children,map,.0%,3,28
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Child poverty rate,0.224,Income by age: children,map,.0%,3,28
South End,Bridgeport,1_neighborhood,Child poverty rate,0.442,Income by age: children,map,.0%,3,28
Upper East Side,Bridgeport,1_neighborhood,Child poverty rate,0.27,Income by age: children,map,.0%,3,28
West End-West Side,Bridgeport,1_neighborhood,Child poverty rate,0.44,Income by age: children,map,.0%,3,28
Bridgeport,Bridgeport,2_city,Child poverty rate,0.329,Income by age: children,map,.0%,3,28
Fairfield County,Bridgeport,3_county,Child poverty rate,0.108,Income by age: children,map,.0%,3,28
Connecticut,Bridgeport,4_state,Child poverty rate,0.141,Income by age: children,map,.0%,3,28
Black Rock,Bridgeport,1_neighborhood,Low-income children,842,Income by age: children,table,",",4,29
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Low-income children,3080,Income by age: children,table,",",4,29
Downtown,Bridgeport,1_neighborhood,Low-income children,636,Income by age: children,table,",",4,29
East End,Bridgeport,1_neighborhood,Low-income children,2134,Income by age: children,table,",",4,29
East Side,Bridgeport,1_neighborhood,Low-income children,3186,Income by age: children,table,",",4,29
Enterprise,Bridgeport,1_neighborhood,Low-income children,159,Income by age: children,table,",",4,29
Hollow,Bridgeport,1_neighborhood,Low-income children,1666,Income by age: children,table,",",4,29
Mill Hill,Bridgeport,1_neighborhood,Low-income children,1738,Income by age: children,table,",",4,29
North End,Bridgeport,1_neighborhood,Low-income children,1737,Income by age: children,table,",",4,29
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Low-income children,1302,Income by age: children,table,",",4,29
South End,Bridgeport,1_neighborhood,Low-income children,503,Income by age: children,table,",",4,29
Upper East Side,Bridgeport,1_neighborhood,Low-income children,1138,Income by age: children,table,",",4,29
West End-West Side,Bridgeport,1_neighborhood,Low-income children,4325,Income by age: children,table,",",4,29
Bridgeport,Bridgeport,2_city,Low-income children,22447,Income by age: children,table,",",4,29
Fairfield County,Bridgeport,3_county,Low-income children,56535,Income by age: children,table,",",4,29
Connecticut,Bridgeport,4_state,Low-income children,229817,Income by age: children,table,",",4,29
Black Rock,Bridgeport,1_neighborhood,Child low-income rate,0.572,Income by age: children,map,.0%,5,30
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Child low-income rate,0.603,Income by age: children,map,.0%,5,30
Downtown,Bridgeport,1_neighborhood,Child low-income rate,0.855,Income by age: children,map,.0%,5,30
East End,Bridgeport,1_neighborhood,Child low-income rate,0.813,Income by age: children,map,.0%,5,30
East Side,Bridgeport,1_neighborhood,Child low-income rate,0.742,Income by age: children,map,.0%,5,30
Enterprise,Bridgeport,1_neighborhood,Child low-income rate,0.811,Income by age: children,map,.0%,5,30
Hollow,Bridgeport,1_neighborhood,Child low-income rate,0.81,Income by age: children,map,.0%,5,30
Mill Hill,Bridgeport,1_neighborhood,Child low-income rate,0.603,Income by age: children,map,.0%,5,30
North End,Bridgeport,1_neighborhood,Child low-income rate,0.375,Income by age: children,map,.0%,5,30
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Child low-income rate,0.588,Income by age: children,map,.0%,5,30
South End,Bridgeport,1_neighborhood,Child low-income rate,0.874,Income by age: children,map,.0%,5,30
Upper East Side,Bridgeport,1_neighborhood,Child low-income rate,0.482,Income by age: children,map,.0%,5,30
West End-West Side,Bridgeport,1_neighborhood,Child low-income rate,0.737,Income by age: children,map,.0%,5,30
Bridgeport,Bridgeport,2_city,Child low-income rate,0.641,Income by age: children,map,.0%,5,30
Fairfield County,Bridgeport,3_county,Child low-income rate,0.258,Income by age: children,map,.0%,5,30
Connecticut,Bridgeport,4_state,Child low-income rate,0.301,Income by age: children,map,.0%,5,30
Black Rock,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",1239,Income by age: seniors,table,",",1,31
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",2494,Income by age: seniors,table,",",1,31
Downtown,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",447,Income by age: seniors,table,",",1,31
East End,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",740,Income by age: seniors,table,",",1,31
East Side,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",912,Income by age: seniors,table,",",1,31
Enterprise,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",66,Income by age: seniors,table,",",1,31
Hollow,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",360,Income by age: seniors,table,",",1,31
Mill Hill,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",1362,Income by age: seniors,table,",",1,31
North End,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",3038,Income by age: seniors,table,",",1,31
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",925,Income by age: seniors,table,",",1,31
South End,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",229,Income by age: seniors,table,",",1,31
Upper East Side,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",976,Income by age: seniors,table,",",1,31
West End-West Side,Bridgeport,1_neighborhood,"Ages 65+, poverty status known",1637,Income by age: seniors,table,",",1,31
Bridgeport,Bridgeport,2_city,"Ages 65+, poverty status known",14426,Income by age: seniors,table,",",1,31
Fairfield County,Bridgeport,3_county,"Ages 65+, poverty status known",130544,Income by age: seniors,table,",",1,31
Connecticut,Bridgeport,4_state,"Ages 65+, poverty status known",533413,Income by age: seniors,table,",",1,31
Black Rock,Bridgeport,1_neighborhood,Seniors in poverty,115,Income by age: seniors,table,",",2,32
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Seniors in poverty,174,Income by age: seniors,table,",",2,32
Downtown,Bridgeport,1_neighborhood,Seniors in poverty,161,Income by age: seniors,table,",",2,32
East End,Bridgeport,1_neighborhood,Seniors in poverty,141,Income by age: seniors,table,",",2,32
East Side,Bridgeport,1_neighborhood,Seniors in poverty,251,Income by age: seniors,table,",",2,32
Enterprise,Bridgeport,1_neighborhood,Seniors in poverty,2,Income by age: seniors,table,",",2,32
Hollow,Bridgeport,1_neighborhood,Seniors in poverty,90,Income by age: seniors,table,",",2,32
Mill Hill,Bridgeport,1_neighborhood,Seniors in poverty,310,Income by age: seniors,table,",",2,32
North End,Bridgeport,1_neighborhood,Seniors in poverty,324,Income by age: seniors,table,",",2,32
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Seniors in poverty,78,Income by age: seniors,table,",",2,32
South End,Bridgeport,1_neighborhood,Seniors in poverty,38,Income by age: seniors,table,",",2,32
Upper East Side,Bridgeport,1_neighborhood,Seniors in poverty,111,Income by age: seniors,table,",",2,32
West End-West Side,Bridgeport,1_neighborhood,Seniors in poverty,281,Income by age: seniors,table,",",2,32
Bridgeport,Bridgeport,2_city,Seniors in poverty,2074,Income by age: seniors,table,",",2,32
Fairfield County,Bridgeport,3_county,Seniors in poverty,9121,Income by age: seniors,table,",",2,32
Connecticut,Bridgeport,4_state,Seniors in poverty,38003,Income by age: seniors,table,",",2,32
Black Rock,Bridgeport,1_neighborhood,Senior poverty rate,0.0928,Income by age: seniors,map,.0%,3,33
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Senior poverty rate,0.0696,Income by age: seniors,map,.0%,3,33
Downtown,Bridgeport,1_neighborhood,Senior poverty rate,0.361,Income by age: seniors,map,.0%,3,33
East End,Bridgeport,1_neighborhood,Senior poverty rate,0.191,Income by age: seniors,map,.0%,3,33
East Side,Bridgeport,1_neighborhood,Senior poverty rate,0.275,Income by age: seniors,map,.0%,3,33
Enterprise,Bridgeport,1_neighborhood,Senior poverty rate,0.0302,Income by age: seniors,map,.0%,3,33
Hollow,Bridgeport,1_neighborhood,Senior poverty rate,0.249,Income by age: seniors,map,.0%,3,33
Mill Hill,Bridgeport,1_neighborhood,Senior poverty rate,0.227,Income by age: seniors,map,.0%,3,33
North End,Bridgeport,1_neighborhood,Senior poverty rate,0.107,Income by age: seniors,map,.0%,3,33
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Senior poverty rate,0.084,Income by age: seniors,map,.0%,3,33
South End,Bridgeport,1_neighborhood,Senior poverty rate,0.164,Income by age: seniors,map,.0%,3,33
Upper East Side,Bridgeport,1_neighborhood,Senior poverty rate,0.114,Income by age: seniors,map,.0%,3,33
West End-West Side,Bridgeport,1_neighborhood,Senior poverty rate,0.171,Income by age: seniors,map,.0%,3,33
Bridgeport,Bridgeport,2_city,Senior poverty rate,0.144,Income by age: seniors,map,.0%,3,33
Fairfield County,Bridgeport,3_county,Senior poverty rate,0.0699,Income by age: seniors,map,.0%,3,33
Connecticut,Bridgeport,4_state,Senior poverty rate,0.0712,Income by age: seniors,map,.0%,3,33
Black Rock,Bridgeport,1_neighborhood,Low-income seniors,382,Income by age: seniors,table,",",4,34
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Low-income seniors,745,Income by age: seniors,table,",",4,34
Downtown,Bridgeport,1_neighborhood,Low-income seniors,362,Income by age: seniors,table,",",4,34
East End,Bridgeport,1_neighborhood,Low-income seniors,392,Income by age: seniors,table,",",4,34
East Side,Bridgeport,1_neighborhood,Low-income seniors,472,Income by age: seniors,table,",",4,34
Enterprise,Bridgeport,1_neighborhood,Low-income seniors,31,Income by age: seniors,table,",",4,34
Hollow,Bridgeport,1_neighborhood,Low-income seniors,125,Income by age: seniors,table,",",4,34
Mill Hill,Bridgeport,1_neighborhood,Low-income seniors,745,Income by age: seniors,table,",",4,34
North End,Bridgeport,1_neighborhood,Low-income seniors,835,Income by age: seniors,table,",",4,34
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Low-income seniors,253,Income by age: seniors,table,",",4,34
South End,Bridgeport,1_neighborhood,Low-income seniors,140,Income by age: seniors,table,",",4,34
Upper East Side,Bridgeport,1_neighborhood,Low-income seniors,457,Income by age: seniors,table,",",4,34
West End-West Side,Bridgeport,1_neighborhood,Low-income seniors,821,Income by age: seniors,table,",",4,34
Bridgeport,Bridgeport,2_city,Low-income seniors,5759,Income by age: seniors,table,",",4,34
Fairfield County,Bridgeport,3_county,Low-income seniors,26616,Income by age: seniors,table,",",4,34
Connecticut,Bridgeport,4_state,Low-income seniors,122224,Income by age: seniors,table,",",4,34
Black Rock,Bridgeport,1_neighborhood,Senior low-income rate,0.309,Income by age: seniors,map,.0%,5,35
Brooklawn-St. Vincent,Bridgeport,1_neighborhood,Senior low-income rate,0.299,Income by age: seniors,map,.0%,5,35
Downtown,Bridgeport,1_neighborhood,Senior low-income rate,0.81,Income by age: seniors,map,.0%,5,35
East End,Bridgeport,1_neighborhood,Senior low-income rate,0.53,Income by age: seniors,map,.0%,5,35
East Side,Bridgeport,1_neighborhood,Senior low-income rate,0.518,Income by age: seniors,map,.0%,5,35
Enterprise,Bridgeport,1_neighborhood,Senior low-income rate,0.465,Income by age: seniors,map,.0%,5,35
Hollow,Bridgeport,1_neighborhood,Senior low-income rate,0.346,Income by age: seniors,map,.0%,5,35
Mill Hill,Bridgeport,1_neighborhood,Senior low-income rate,0.547,Income by age: seniors,map,.0%,5,35
North End,Bridgeport,1_neighborhood,Senior low-income rate,0.275,Income by age: seniors,map,.0%,5,35
Reservoir-Whiskey Hill,Bridgeport,1_neighborhood,Senior low-income rate,0.274,Income by age: seniors,map,.0%,5,35
South End,Bridgeport,1_neighborhood,Senior low-income rate,0.61,Income by age: seniors,map,.0%,5,35
Upper East Side,Bridgeport,1_neighborhood,Senior low-income rate,0.468,Income by age: seniors,map,.0%,5,35
West End-West Side,Bridgeport,1_neighborhood,Senior low-income rate,0.501,Income by age: seniors,map,.0%,5,35
Bridgeport,Bridgeport,2_city,Senior low-income rate,0.399,Income by age: seniors,map,.0%,5,35
Fairfield County,Bridgeport,3_county,Senior low-income rate,0.204,Income by age: seniors,map,.0%,5,35
Connecticut,Bridgeport,4_state,Senior low-income rate,0.229,Income by age: seniors,map,.0%,5,35
